run_id,doc_id,doc_index,model,field,field_type,extracted_value,extraction_latency_ms,extraction_error,judge_verdict,judge_confidence,judge_probabilities,judge_grounded_noul,judge_correction_value,judge_correction_confidence,judge_reason,reason_source,judge_latency_ms,judge_error,decision,final_value,final_value_source,gt_value,gt_present,gt_multivalued,exact_match_before,normalized_match_before,exact_match_after,normalized_match_after
20260920T192325Z,test-0,0,openai/gpt-oss-20b,menu.first_item_cnt,number,,12200.850749999518,,FAIL,0.67,"{""FAIL"": 0.78, ""PASS"": 0.17, ""UNCERTAIN"": 0.05}",0.03,2.00,0.51,"Jev selected FAIL with confidence 0.67; distribution [FAIL=0.78, PASS=0.17, UNCERTAIN=0.05]; value does NOT appear verbatim in the document (noul=0.03); suggests corrected value '2.00' (confidence 0.51).",derived_from_jev_probabilities,558.4142910083756,,review,,extraction,2,True,False,False,False,False,False
20260920T192325Z,test-0,0,openai/gpt-oss-20b,menu.first_item_name,text,,12200.850749999518,,PASS,0.93,"{""FAIL"": 0.04, ""PASS"": 0.95, ""UNCERTAIN"": 0.01}",0.03,,,"Jev selected PASS with confidence 0.93; distribution [PASS=0.95, FAIL=0.04, UNCERTAIN=0.01]; value does NOT appear verbatim in the document (noul=0.03).",derived_from_jev_probabilities,558.4142910083756,,accept,,extraction,-TICKET CP,True,False,False,False,False,False
20260920T192325Z,test-0,0,openai/gpt-oss-20b,menu.first_item_price,currency,,12200.850749999518,,FAIL,0.57,"{""FAIL"": 0.71, ""PASS"": 0.24, ""UNCERTAIN"": 0.05}",0.04,60.000,0.79,"Jev selected FAIL with confidence 0.57; distribution [FAIL=0.71, PASS=0.24, UNCERTAIN=0.05]; value does NOT appear verbatim in the document (noul=0.04); suggests corrected value '60.000' (confidence 0.79).",derived_from_jev_probabilities,558.4142910083756,,review,,extraction,60.000,True,False,False,False,False,False
20260920T192325Z,test-0,0,openai/gpt-oss-20b,sub_total.discount_price,currency,-60.000,12200.850749999518,,PASS,0.66,"{""FAIL"": 0.22, ""PASS"": 0.78, ""UNCERTAIN"": 0.0}",0.54,,,"Jev selected PASS with confidence 0.66; distribution [PASS=0.78, FAIL=0.22, UNCERTAIN=0.00]; verbatim presence is ambiguous (noul=0.54).",derived_from_jev_probabilities,558.4142910083756,,review,-60.000,extraction,-60.000,True,False,True,True,True,True
20260920T192325Z,test-0,0,openai/gpt-oss-20b,sub_total.service_price,currency,,12200.850749999518,,PASS,0.78,"{""FAIL"": 0.13, ""PASS"": 0.86, ""UNCERTAIN"": 0.01}",0.06,,,"Jev selected PASS with confidence 0.78; distribution [PASS=0.86, FAIL=0.13, UNCERTAIN=0.01]; value does NOT appear verbatim in the document (noul=0.06).",derived_from_jev_probabilities,558.4142910083756,,accept,,extraction,,False,False,True,True,True,True
20260920T192325Z,test-0,0,openai/gpt-oss-20b,sub_total.subtotal_price,currency,60.000,12200.850749999518,,PASS,0.84,"{""FAIL"": 0.1, ""PASS"": 0.89, ""UNCERTAIN"": 0.01}",0.95,,,"Jev selected PASS with confidence 0.84; distribution [PASS=0.89, FAIL=0.10, UNCERTAIN=0.01]; value appears verbatim in the document (noul=0.95).",derived_from_jev_probabilities,558.4142910083756,,accept,60.000,extraction,60.000,True,False,True,True,True,True
20260920T192325Z,test-0,0,openai/gpt-oss-20b,sub_total.tax_price,currency,5.455,12200.850749999518,,PASS,0.88,"{""FAIL"": 0.07, ""PASS"": 0.93, ""UNCERTAIN"": 0.0}",0.86,,,"Jev selected PASS with confidence 0.88; distribution [PASS=0.93, FAIL=0.07, UNCERTAIN=0.00]; value appears verbatim in the document (noul=0.86).",derived_from_jev_probabilities,558.4142910083756,,accept,5.455,extraction,5.455,True,False,True,True,True,True
20260920T192325Z,test-0,0,openai/gpt-oss-20b,total.cashprice,currency,,12200.850749999518,,PASS,0.83,"{""FAIL"": 0.11, ""PASS"": 0.89, ""UNCERTAIN"": 0.0}",0.07,,,"Jev selected PASS with confidence 0.83; distribution [PASS=0.89, FAIL=0.11, UNCERTAIN=0.00]; value does NOT appear verbatim in the document (noul=0.07).",derived_from_jev_probabilities,558.4142910083756,,accept,,extraction,,False,False,True,True,True,True
20260920T192325Z,test-0,0,openai/gpt-oss-20b,total.changeprice,currency,,12200.850749999518,,PASS,0.65,"{""FAIL"": 0.22, ""PASS"": 0.77, ""UNCERTAIN"": 0.01}",0.09,,,"Jev selected PASS with confidence 0.65; distribution [PASS=0.77, FAIL=0.22, UNCERTAIN=0.01]; value does NOT appear verbatim in the document (noul=0.09).",derived_from_jev_probabilities,558.4142910083756,,review,,extraction,,False,False,True,True,True,True
20260920T192325Z,test-0,0,openai/gpt-oss-20b,total.creditcardprice,currency,60.000,12200.850749999518,,PASS,0.85,"{""FAIL"": 0.09, ""PASS"": 0.9, ""UNCERTAIN"": 0.01}",0.86,,,"Jev selected PASS with confidence 0.85; distribution [PASS=0.90, FAIL=0.09, UNCERTAIN=0.01]; value appears verbatim in the document (noul=0.86).",derived_from_jev_probabilities,558.4142910083756,,accept,60.000,extraction,60.000,True,False,True,True,True,True
20260920T192325Z,test-0,0,openai/gpt-oss-20b,total.menuqty_cnt,number,2.00,12200.850749999518,,PASS,0.99,"{""FAIL"": 0.01, ""PASS"": 0.99, ""UNCERTAIN"": 0.0}",0.87,,,"Jev selected PASS with confidence 0.99; distribution [PASS=0.99, FAIL=0.01, UNCERTAIN=0.00]; value appears verbatim in the document (noul=0.87).",derived_from_jev_probabilities,558.4142910083756,,accept,2.00,extraction,2.00,True,False,True,True,True,True
20260920T192325Z,test-0,0,openai/gpt-oss-20b,total.total_price,currency,60.000,12200.850749999518,,PASS,0.88,"{""FAIL"": 0.07, ""PASS"": 0.93, ""UNCERTAIN"": 0.0}",0.93,,,"Jev selected PASS with confidence 0.88; distribution [PASS=0.93, FAIL=0.07, UNCERTAIN=0.00]; value appears verbatim in the document (noul=0.93).",derived_from_jev_probabilities,558.4142910083756,,accept,60.000,extraction,60.000,True,False,True,True,True,True
20260920T192325Z,test-1,1,openai/gpt-oss-20b,menu.first_item_cnt,number,,2732.75058400759,,PASS,0.78,"{""PASS"": 0.86, ""UNCERTAIN"": 0.05, ""FAIL"": 0.09}",0.03,,,"Jev selected PASS with confidence 0.78; distribution [PASS=0.86, FAIL=0.09, UNCERTAIN=0.05]; value does NOT appear verbatim in the document (noul=0.03).",derived_from_jev_probabilities,433.321040996816,,accept,,extraction,,False,False,True,True,True,True
20260920T192325Z,test-1,1,openai/gpt-oss-20b,menu.first_item_name,text,J.STB PROMO,2732.75058400759,,PASS,1.0,"{""PASS"": 1.0, ""UNCERTAIN"": 0.0, ""FAIL"": 0.0}",0.97,,,"Jev selected PASS with confidence 1.00; distribution [PASS=1.00, UNCERTAIN=0.00, FAIL=0.00]; value appears verbatim in the document (noul=0.97).",derived_from_jev_probabilities,433.321040996816,,accept,J.STB PROMO,extraction,J.STB PROMO,True,False,True,True,True,True
20260920T192325Z,test-1,1,openai/gpt-oss-20b,menu.first_item_price,currency,17500,2732.75058400759,,PASS,0.99,"{""PASS"": 1.0, ""UNCERTAIN"": 0.0, ""FAIL"": 0.0}",0.97,,,"Jev selected PASS with confidence 0.99; distribution [PASS=1.00, UNCERTAIN=0.00, FAIL=0.00]; value appears verbatim in the document (noul=0.97).",derived_from_jev_probabilities,433.321040996816,,accept,17500,extraction,17500,True,False,True,True,True,True
20260920T192325Z,test-1,1,openai/gpt-oss-20b,sub_total.discount_price,currency,,2732.75058400759,,PASS,0.95,"{""PASS"": 0.96, ""UNCERTAIN"": 0.01, ""FAIL"": 0.03}",0.05,,,"Jev selected PASS with confidence 0.95; distribution [PASS=0.96, FAIL=0.03, UNCERTAIN=0.01]; value does NOT appear verbatim in the document (noul=0.05).",derived_from_jev_probabilities,433.321040996816,,accept,,extraction,,False,False,True,True,True,True
20260920T192325Z,test-1,1,openai/gpt-oss-20b,sub_total.service_price,currency,,2732.75058400759,,PASS,0.94,"{""PASS"": 0.96, ""UNCERTAIN"": 0.01, ""FAIL"": 0.03}",0.04,,,"Jev selected PASS with confidence 0.94; distribution [PASS=0.96, FAIL=0.03, UNCERTAIN=0.01]; value does NOT appear verbatim in the document (noul=0.04).",derived_from_jev_probabilities,433.321040996816,,accept,,extraction,,False,False,True,True,True,True
20260920T192325Z,test-1,1,openai/gpt-oss-20b,sub_total.subtotal_price,currency,,2732.75058400759,,PASS,0.36,"{""PASS"": 0.57, ""UNCERTAIN"": 0.01, ""FAIL"": 0.42}",0.05,,,"Jev selected PASS with confidence 0.36; distribution [PASS=0.57, FAIL=0.42, UNCERTAIN=0.01]; value does NOT appear verbatim in the document (noul=0.05).",derived_from_jev_probabilities,433.321040996816,,review,,extraction,,False,False,True,True,True,True
20260920T192325Z,test-1,1,openai/gpt-oss-20b,sub_total.tax_price,currency,,2732.75058400759,,PASS,0.98,"{""PASS"": 0.98, ""UNCERTAIN"": 0.01, ""FAIL"": 0.01}",0.05,,,"Jev selected PASS with confidence 0.98; distribution [PASS=0.98, UNCERTAIN=0.01, FAIL=0.01]; value does NOT appear verbatim in the document (noul=0.05).",derived_from_jev_probabilities,433.321040996816,,accept,,extraction,,False,False,True,True,True,True
20260920T192325Z,test-1,1,openai/gpt-oss-20b,total.cashprice,currency,91000,2732.75058400759,,PASS,1.0,"{""PASS"": 1.0, ""UNCERTAIN"": 0.0, ""FAIL"": 0.0}",0.96,,,"Jev selected PASS with confidence 1.00; distribution [PASS=1.00, UNCERTAIN=0.00, FAIL=0.00]; value appears verbatim in the document (noul=0.96).",derived_from_jev_probabilities,433.321040996816,,accept,91000,extraction,91000,True,False,True,True,True,True
20260920T192325Z,test-1,1,openai/gpt-oss-20b,total.changeprice,currency,,2732.75058400759,,PASS,0.91,"{""PASS"": 0.94, ""UNCERTAIN"": 0.0, ""FAIL"": 0.06}",0.07,,,"Jev selected PASS with confidence 0.91; distribution [PASS=0.94, FAIL=0.06, UNCERTAIN=0.00]; value does NOT appear verbatim in the document (noul=0.07).",derived_from_jev_probabilities,433.321040996816,,accept,,extraction,,False,False,True,True,True,True
20260920T192325Z,test-1,1,openai/gpt-oss-20b,total.creditcardprice,currency,,2732.75058400759,,PASS,0.99,"{""PASS"": 1.0, ""UNCERTAIN"": 0.0, ""FAIL"": 0.0}",0.05,,,"Jev selected PASS with confidence 0.99; distribution [PASS=1.00, UNCERTAIN=0.00, FAIL=0.00]; value does NOT appear verbatim in the document (noul=0.05).",derived_from_jev_probabilities,433.321040996816,,accept,,extraction,,False,False,True,True,True,True
20260920T192325Z,test-1,1,openai/gpt-oss-20b,total.menuqty_cnt,number,,2732.75058400759,,PASS,0.89,"{""PASS"": 0.93, ""UNCERTAIN"": 0.01, ""FAIL"": 0.06}",0.03,,,"Jev selected PASS with confidence 0.89; distribution [PASS=0.93, FAIL=0.06, UNCERTAIN=0.01]; value does NOT appear verbatim in the document (noul=0.03).",derived_from_jev_probabilities,433.321040996816,,accept,,extraction,,False,False,True,True,True,True
